cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 627,3565.078651685393,1353.887640449438,55,0,0,0,0,0,0,13,0,309,0
Cell 628,3747.081632653061,1354.6122448979593,28,120,0,0,0,0,131,14,0,0,10
Cell 629,5538.685483870968,1353.524193548387,0,15,0,0,124,0,222,0,0,202,0
Cell 630,67.40579710144928,1355.855072463768,75,34,37,142,317,187,813,286,104,25,0
Cell 631,2717.4819277108436,1356.5060240963855,105,276,0,0,0,0,0,72,0,0,59
Cell 632,3552.542056074766,1357.2897196261683,101,529,0,0,899,149,0,117,0,0,39
Cell 633,5959.175,1354.9625,0,0,0,0,0,0,0,0,0,399,0
Cell 634,3681.8257575757575,1361.4166666666667,207,0,0,0,0,11,0,59,0,0,128
Cell 635,5977.956989247312,1359.3010752688172,0,91,0,0,0,11,0,0,0,0,0
Cell 636,499.9920634920635,1365.7301587301588,0,0,0,0,0,0,0,0,0,0,0
Cell 637,5883.072916666667,1363.8125,0,42,0,0,127,0,0,14,0,113,0
Cell 638,519.6201550387597,1366.062015503876,180,395,0,399,0,527,0,0,178,75,18
Cell 639,1497.016129032258,1365.3548387096773,30,0,0,0,0,0,0,0,20,0,0
Cell 640,2261.0103092783506,1366.3505154639174,47,419,0,0,0,229,0,0,64,24,0
Cell 641,5952.410256410257,1365.6666666666667,40,40,0,0,0,193,0,279,0,0,0
Cell 642,5966.924528301887,1366.3207547169811,13,0,31,0,663,0,0,0,0,0,0
Cell 643,1318.0545454545454,1370.3909090909092,0,0,0,0,544,43,433,295,0,0,0
Cell 644,2720.9814814814813,1368.1666666666667,0,0,0,0,606,0,0,0,0,0,0
Cell 645,6002.275,1369.95,31,43,0,0,0,34,0,59,0,489,0
Cell 646,3348.488888888889,1372.5,24,44,0,0,473,34,581,35,0,0,30
Cell 647,3672.2978723404253,1374.1063829787233,0,0,0,0,0,0,0,32,0,0,0
Cell 648,6017.821782178218,1375.3564356435643,26,120,0,0,467,200,889,188,0,0,0
Cell 649,1493.9705882352941,1375.7843137254902,101,406,0,164,0,493,0,0,19,45,69
Cell 650,2230.549019607843,1376.1666666666667,124,27,20,0,0,33,0,0,56,0,0
Cell 651,4923.465240641711,1382.1604278074867,91,122,0,0,554,31,654,0,0,59,0
Cell 652,4532.282051282052,1377.0897435897436,54,175,0,0,472,151,320,129,0,0,0
Cell 653,5188.932584269663,1379.258426966292,47,92,0,0,346,0,0,256,0,0,0
Cell 654,1782.4014598540145,1382.6204379562043,49,54,10,0,800,143,439,147,0,0,0
Cell 655,1250.5314685314686,1382.3916083916083,59,232,0,105,0,158,960,434,57,20,40
Cell 656,2216.1666666666665,1383.21875,72,212,0,0,0,99,0,0,18,0,0
Cell 657,4628.435582822086,1383.601226993865,56,161,0,0,983,0,727,17,0,0,0
Cell 658,1442.8365384615386,1384.4615384615386,14,14,138,0,97,72,0,79,0,0,0
Cell 659,5668.061728395061,1384.469135802469,0,17,0,0,54,0,482,0,0,0,0
Cell 660,5870.05,1385.4666666666667,17,78,0,0,170,94,0,194,0,72,0
Cell 661,2737.4736842105262,1389.0350877192982,68,40,0,0,293,126,0,171,0,0,0
Cell 662,3772.2436974789916,1391.672268907563,169,0,0,0,0,143,0,117,12,75,0
Cell 663,3076.8125,1388.859375,0,44,0,0,208,0,350,10,0,0,0
Cell 664,5181.269662921349,1392.0674157303372,0,0,0,0,0,0,0,0,0,0,0
Cell 665,2629.6494845360826,1397.8556701030927,54,237,0,0,755,60,488,179,0,0,0
Cell 666,4333.888888888889,1397.7407407407406,16,209,0,0,370,11,849,0,0,130,0
Cell 667,4344.5,1395.517857142857,27,0,0,0,0,10,0,56,0,0,0
Cell 668,4911.642857142857,1398.142857142857,0,0,0,0,0,0,0,0,0,0,0
Cell 669,3012.076923076923,1402.9450549450548,43,52,0,0,384,0,118,89,0,0,0
Cell 670,3340.574468085106,1404.159574468085,39,282,0,0,0,0,0,0,0,0,0
Cell 671,419.54794520547944,1404.986301369863,18,0,0,0,395,157,948,12,13,0,0
Cell 672,3602.9299363057326,1410.2929936305732,29,73,0,0,496,0,434,10,0,107,0
Cell 673,3762.842857142857,1406.8,0,0,0,0,0,0,0,0,0,0,0
Cell 674,3831.3703703703704,1409.5185185185185,0,0,0,0,0,0,120,0,0,0,0
Cell 675,3357.127659574468,1409.3829787234042,55,0,0,0,766,63,0,181,0,0,0
Cell 676,3702.7818181818184,1409.9818181818182,48,195,0,0,750,21,994,373,0,85,0
Cell 677,4331.255102040816,1410.642857142857,25,0,0,0,0,0,0,10,0,0,0
Cell 678,5845.666666666667,1415.5350877192982,0,0,0,0,190,0,56,0,0,0,0
Cell 679,3507.5949367088606,1413.367088607595,56,363,0,0,747,0,758,364,0,0,0
Cell 680,3491.8514851485147,1419.8217821782177,49,0,0,0,0,0,0,10,21,33,0
Cell 681,2057.0112359550562,1419.2921348314608,0,13,0,0,0,321,0,0,0,0,0
Cell 682,2070.9397590361446,1419.6506024096386,150,406,0,0,769,25,0,473,0,0,43
Cell 683,4230.658823529412,1419.1411764705883,55,480,16,0,0,0,0,34,15,0,0
Cell 684,3927.2929292929293,1422.4848484848485,61,0,0,0,0,0,0,0,0,0,61
Cell 685,1752.326923076923,1425.2115384615386,0,0,0,0,0,49,0,10,0,0,25
Cell 686,2923.366666666667,1427.7166666666667,0,0,376,152,163,0,213,179,143,457,0
Cell 687,201.84375,1429.25,44,81,0,122,0,253,861,257,0,0,14
Cell 688,3942.218579234973,1436.1092896174864,221,691,0,0,0,10,0,39,11,0,12
Cell 689,111.31521739130434,1430.1847826086957,95,88,0,84,472,252,920,446,25,0,19
Cell 690,3159.3166666666666,1432.2833333333333,0,0,0,0,252,0,0,0,0,0,0
Cell 691,1762.0833333333333,1436.0530303030303,297,336,0,0,0,211,0,382,0,0,66
Cell 692,2693.109375,1433.640625,0,68,0,0,0,10,0,0,0,0,0
Cell 693,4006.158620689655,1438.606896551724,136,549,0,0,0,20,0,33,0,0,54
Cell 694,2488.4137931034484,1436.7672413793102,76,210,0,0,1059,209,0,220,13,0,0
Cell 695,4233.391304347826,1440.4855072463768,100,0,0,0,0,48,0,102,25,0,51
Cell 696,5340.745098039216,1436.5882352941176,21,75,0,0,335,20,363,80,0,0,11
Cell 697,266.84507042253523,1439.4929577464789,71,160,0,0,0,271,820,270,23,0,0
Cell 698,2717.6,1438.54,24,140,0,0,0,69,0,0,0,0,0
Cell 699,4044.0761904761903,1440.7714285714285,0,369,0,0,0,16,0,0,0,0,20
Cell 700,5045.277777777777,1438.6944444444443,0,0,24,0,75,0,195,0,0,0,0
Cell 701,2054.0862068965516,1440.3103448275863,0,30,0,0,175,24,0,214,0,0,0
Cell 702,2678.548076923077,1445.5192307692307,100,224,0,0,0,49,0,24,11,0,15
Cell 703,4018.980769230769,1444.2307692307693,22,0,0,0,0,0,0,0,0,0,0
Cell 704,4053.151515151515,1449.4343434343434,169,0,0,0,0,0,0,204,0,0,0
Cell 705,3412.6363636363635,1449.3636363636363,0,187,0,0,378,0,882,84,0,111,0
Cell 706,507.641975308642,1450.7530864197531,284,551,0,0,931,213,0,0,114,0,0
Cell 707,2186.214953271028,1452.0747663551401,184,641,0,0,0,393,0,602,50,0,27
Cell 708,2700.226804123711,1451.8659793814434,96,181,0,0,0,150,0,45,0,0,0
Cell 709,479.12280701754383,1452.0526315789473,0,0,0,0,0,0,0,0,0,0,0
Cell 710,5123.347826086957,1456.5304347826086,101,312,0,0,513,259,0,356,15,0,14
Cell 711,6027.36,1457.02,0,47,0,0,117,0,230,430,0,0,0
Cell 712,4872.012195121952,1460.0487804878048,62,118,11,0,613,91,0,60,0,0,0
Cell 713,1405.7435897435898,1466.8397435897436,113,170,0,0,0,482,0,414,0,0,0
Cell 714,481.8346456692913,1469.007874015748,65,142,0,53,347,269,0,0,0,0,0
Cell 715,5417.983050847458,1467.2542372881355,25,18,0,0,338,0,658,40,0,0,0
Cell 716,1013.2075471698113,1470.3207547169811,0,168,0,0,928,26,461,0,0,0,29
Cell 717,1298.6702127659576,1476.4255319148936,0,253,0,0,837,0,983,0,17,61,0
Cell 718,3736.8470588235296,1474.9411764705883,108,365,0,0,534,0,286,133,0,0,0
Cell 719,1311.7529411764706,1477.8588235294117,167,0,11,105,0,0,0,292,25,0,0
Cell 720,3287.904347826087,1477.608695652174,94,0,0,0,0,58,0,0,0,0,0
Cell 721,5401.590909090909,1477.034090909091,0,0,0,0,11,14,0,26,0,0,0
Cell 722,5578.210526315789,1477.9736842105262,73,82,0,0,0,0,216,222,0,0,0
Cell 723,373.7310924369748,1481.7394957983192,31,194,23,0,620,25,131,114,49,0,0
Cell 724,1031.8529411764705,1484.0661764705883,122,0,0,0,35,0,0,407,23,22,30
Cell 725,1415.6122448979593,1484.3775510204082,0,0,0,0,0,0,0,0,0,0,0
Cell 726,3300.2083333333335,1486.7708333333333,0,0,0,0,0,0,0,0,0,0,81
Cell 727,5025.838383838384,1486.121212121212,90,157,0,0,539,17,0,81,13,0,65
Cell 728,1400.4404761904761,1486.8214285714287,24,57,0,0,0,0,0,13,0,0,0
Cell 729,5818.111111111111,1488.736111111111,123,236,0,20,645,89,1101,220,0,10,16
Cell 730,5591.207547169812,1496.7075471698113,65,150,0,0,735,12,40,171,0,0,0
Cell 731,5721.304,1495.8,67,170,0,0,530,0,647,0,16,342,66
Cell 732,2449.962962962963,1495.5555555555557,0,726,0,0,0,184,0,0,24,0,160
Cell 733,3310.1651376146788,1499.091743119266,212,0,0,0,0,61,0,0,0,0,0
Cell 734,4790.78313253012,1496.4939759036145,144,299,0,0,0,0,685,39,29,159,24
Cell 735,5215.050420168067,1498.4033613445379,113,200,0,0,0,213,0,183,42,0,33
Cell 736,1050.5032258064516,1506.1483870967743,74,0,0,0,0,827,0,158,0,0,54
Cell 737,2139.044776119403,1501.9402985074628,229,0,0,0,0,46,0,226,0,0,0
Cell 738,2604.3232323232323,1501.979797979798,122,258,0,0,716,54,575,41,58,0,40
Cell 739,5015.893939393939,1500.5,0,0,0,0,0,0,0,0,0,0,0
Cell 740,2128.6853932584268,1505.752808988764,0,0,0,0,0,0,0,0,0,0,47
Cell 741,2017.8557692307693,1507.1923076923076,136,361,0,0,650,124,528,227,0,0,118
Cell 742,2430.9302325581393,1508.593023255814,100,0,0,0,0,66,0,191,21,0,41
Cell 743,2451.0476190476193,1507.7936507936508,225,0,0,0,0,0,0,281,32,0,0
Cell 744,4318.277227722772,1509.3663366336634,68,202,0,0,537,61,926,29,0,69,24
Cell 745,2755.4864864864867,1510.1981981981983,113,417,0,0,772,45,1033,31,0,165,47
Cell 746,445.66101694915255,1516.677966101695,80,98,0,0,0,107,0,87,15,0,12
Cell 747,5334.040404040404,1519.3232323232323,68,133,0,0,0,0,0,24,35,0,0
Cell 748,415.22093023255815,1519.4186046511627,167,323,0,0,0,261,0,224,10,0,55
Cell 749,4297.931034482759,1525.3275862068965,16,90,0,0,0,0,0,0,0,0,0
Cell 750,5226.28125,1528.3515625,61,204,10,0,890,0,93,15,15,0,18
Cell 751,2089.3238095238094,1526.4190476190477,14,302,0,0,511,270,693,288,0,0,28
Cell 752,5379.628571428571,1526.2142857142858,25,18,0,0,0,0,0,0,0,0,0
Cell 753,1155.1759259259259,1529.5833333333333,0,0,0,0,0,31,0,0,0,0,135
Cell 754,2143.6019417475727,1528.0388349514562,169,961,0,0,0,97,0,387,10,0,223
Cell 755,5366.247933884298,1528.9173553719008,100,245,0,0,578,358,0,393,25,0,0
Cell 756,550.8834951456311,1530.5242718446602,179,186,0,0,0,0,0,0,33,0,0
Cell 757,2132.525641025641,1530.1923076923076,0,0,12,0,0,15,0,0,59,14,0
Cell 758,389.5769230769231,1533.173076923077,0,0,0,27,0,0,38,19,0,0,0
Cell 759,473.3611111111111,1532.5740740740741,10,42,0,0,0,16,0,67,0,0,0
Cell 760,1485.9099099099099,1533.054054054054,81,0,0,0,0,150,0,10,16,0,57
Cell 761,4599.619469026548,1534.8141592920354,19,57,0,0,382,0,136,0,11,0,0
Cell 762,572.2584269662922,1534.4044943820224,67,112,191,0,341,0,519,19,70,0,0
Cell 763,583.6794871794872,1534.2820512820513,61,72,0,0,0,0,0,0,0,0,0
Cell 764,1166.24,1538.608,215,926,12,0,0,463,0,636,23,0,0
Cell 765,4401.983739837398,1536.8130081300812,74,540,15,0,0,45,0,59,33,15,0
Cell 766,5756.85,1538.04,98,203,0,0,333,0,706,0,0,348,22
Cell 767,2201.390243902439,1544.3170731707316,80,344,0,0,714,0,585,288,29,0,30
Cell 768,3103.968253968254,1542.857142857143,156,385,13,0,21,0,829,0,0,0,0
Cell 769,4417.222222222223,1547.0555555555557,101,0,0,0,0,0,0,31,21,0,33
Cell 770,5334.401785714285,1545.2767857142858,72,110,0,0,689,45,0,142,0,0,34
Cell 771,1640.9423076923076,1549.326923076923,0,0,0,0,35,0,360,10,0,34,0
Cell 772,1473.3793103448277,1552.448275862069,120,684,0,0,0,18,0,0,0,0,0
Cell 773,2368.7863247863247,1554.6410256410256,88,389,0,0,561,11,882,125,12,13,13
Cell 774,1176.777027027027,1554.081081081081,159,0,0,0,0,0,0,0,22,0,80
Cell 775,5052.3877551020405,1558.1326530612246,46,118,0,0,189,43,763,0,0,41,0
Cell 776,4094.3454545454547,1563.0272727272727,33,225,0,0,383,0,470,33,0,0,12
Cell 777,3145.38,1564.16,121,347,13,0,786,130,574,159,13,13,109
Cell 778,2887.9478260869564,1565.095652173913,116,0,0,0,0,73,0,200,14,0,72
Cell 779,1458.918181818182,1579.0,134,289,0,0,0,202,0,40,0,0,21
Cell 780,2864.133333333333,1587.1142857142856,79,648,0,0,0,12,0,108,0,0,74
Cell 781,4791.672131147541,1585.860655737705,74,182,0,0,359,0,479,0,0,0,28
Cell 782,1969.4166666666667,1587.71875,203,0,0,0,978,10,262,274,12,0,25
Cell 783,2983.2033898305085,1586.2542372881355,12,249,0,0,0,11,926,32,0,0,0
Cell 784,1958.1954022988505,1587.1264367816093,0,491,0,0,0,84,818,10,0,0,42
Cell 785,2993.4794520547944,1593.4383561643835,0,81,0,0,765,0,152,0,0,0,0
Cell 786,5864.884057971014,1599.840579710145,64,53,0,0,604,121,793,251,0,0,0
Cell 787,1549.107142857143,1603.9404761904761,103,0,0,0,0,42,440,0,0,0,131
Cell 788,1562.3333333333333,1608.6538461538462,31,683,0,0,0,0,0,12,0,0,15
Cell 789,4446.310679611651,1608.6990291262136,35,15,0,0,0,34,0,0,0,0,10
Cell 790,2275.532258064516,1609.9354838709678,44,182,0,0,471,11,410,0,0,0,0
Cell 791,5877.736842105263,1611.4868421052631,23,20,0,0,0,28,0,0,0,0,0
Cell 792,2329.4957983193276,1616.0672268907563,70,135,0,0,503,105,702,26,0,0,40
Cell 793,3897.9126213592235,1619.368932038835,51,366,0,0,974,0,461,0,12,0,72
Cell 794,4840.013157894737,1619.8552631578948,0,13,0,0,106,35,162,45,0,0,0
Cell 795,4923.617283950617,1619.5061728395062,100,142,10,0,316,106,540,28,0,50,45
Cell 796,4446.376344086021,1625.989247311828,112,424,0,0,846,0,870,22,12,0,44
Cell 797,4263.81981981982,1628.7657657657658,19,114,0,0,0,0,0,0,0,0,0
Cell 798,1553.035294117647,1629.5294117647059,83,0,0,0,0,0,54,35,0,0,43
Cell 799,4282.518987341772,1629.3417721518988,47,246,16,0,0,0,830,17,14,0,19
Cell 800,5543.297872340426,1634.1560283687943,34,47,0,0,327,0,815,12,0,0,0
Cell 801,2840.9518072289156,1637.6746987951808,93,228,0,0,1467,16,1038,37,0,0,36
Cell 802,3223.939024390244,1645.439024390244,0,44,0,0,198,0,46,0,0,0,0
Cell 803,4276.191011235955,1643.8651685393259,11,0,0,0,0,0,97,0,0,0,13
Cell 804,2541.494117647059,1644.7882352941176,66,146,0,0,124,0,294,0,11,0,33
Cell 805,373.35164835164835,1649.6373626373627,209,525,12,0,0,313,154,318,63,0,23
Cell 806,3758.212962962963,1650.5740740740741,105,224,0,0,365,0,253,15,0,0,10
Cell 807,4524.760869565217,1652.695652173913,75,28,0,0,901,36,419,12,0,0,0
Cell 808,5305.57281553398,1652.1941747572816,0,260,0,0,467,0,0,0,0,0,0
Cell 809,1128.4148936170213,1661.8191489361702,0,0,0,0,125,0,449,0,0,0,89
Cell 810,1746.5294117647059,1655.8382352941176,0,58,0,0,175,0,0,0,0,0,0
Cell 811,4206.514563106796,1655.1359223300972,37,129,0,0,0,0,0,0,19,0,0
Cell 812,4460.820512820513,1658.474358974359,22,397,0,0,0,0,0,0,0,0,21
Cell 813,5785.8359375,1658.5,86,84,0,0,0,115,0,10,0,0,0
Cell 814,2184.929411764706,1658.7058823529412,168,367,0,0,970,205,69,210,0,0,17
Cell 815,5299.576,1662.312,76,0,0,0,0,201,989,188,29,143,18
Cell 816,1665.66,1662.22,42,96,0,0,478,27,921,0,0,0,0
Cell 817,4188.935779816514,1664.6788990825687,148,349,29,0,0,115,0,58,0,0,31
Cell 818,1061.6190476190477,1671.8761904761905,0,0,0,0,225,0,417,0,0,0,0
Cell 819,3446.3106796116504,1668.8155339805826,37,109,0,0,282,61,609,12,0,0,10
Cell 820,4374.194029850746,1670.7462686567164,0,0,0,0,38,0,0,0,0,0,0
Cell 821,4919.171171171171,1674.3693693693695,111,207,0,0,0,10,0,156,0,0,31
Cell 822,5444.113402061856,1671.701030927835,54,71,0,0,261,20,653,94,0,0,0
Cell 823,4461.704,1674.584,57,0,0,0,996,18,0,25,10,0,0
Cell 824,5771.552,1674.832,67,157,0,0,15,97,66,0,0,0,44
Cell 825,5366.623188405797,1677.4927536231885,16,51,0,0,0,0,0,0,0,0,0
Cell 826,5753.850877192983,1683.280701754386,75,65,0,0,0,48,0,0,0,0,0
Cell 827,547.5352112676056,1684.9718309859154,114,571,0,0,130,247,0,0,42,18,0
Cell 828,5007.724770642202,1688.1559633027523,33,38,0,0,294,11,272,96,13,0,0
Cell 829,5382.941176470588,1686.2205882352941,83,148,0,0,718,0,590,71,35,0,0
Cell 830,292.78350515463916,1689.5670103092784,205,440,0,33,40,626,0,335,10,0,38
Cell 831,830.360824742268,1690.020618556701,93,300,0,0,543,83,0,360,14,36,12
Cell 832,4923.436090225564,1692.2857142857142,0,0,0,0,908,222,0,0,0,0,0
Cell 833,2264.3611111111113,1689.7777777777778,47,177,0,0,429,64,105,0,0,0,0
Cell 834,4380.767241379311,1703.5,0,27,0,0,0,0,0,0,0,0,0
Cell 835,1218.958041958042,1697.006993006993,95,0,12,0,0,0,0,88,45,17,46
Cell 836,2108.7450980392155,1695.2745098039215,148,440,0,0,950,20,158,57,0,0,0
Cell 837,5733.857142857143,1701.2714285714285,185,214,0,0,0,331,0,0,0,0,81
Cell 838,3723.013698630137,1705.7602739726028,72,222,0,0,531,0,521,174,0,0,0
Cell 839,4759.385321100917,1703.633027522936,0,0,0,0,761,0,360,0,0,0,0
Cell 840,4860.943181818182,1702.2045454545455,0,19,0,0,155,0,662,0,0,0,0
Cell 841,868.4565217391304,1705.8152173913043,0,390,0,0,483,0,513,0,0,0,71
Cell 842,3358.9565217391305,1708.9420289855072,0,17,0,0,188,0,723,0,0,0,0
Cell 843,550.0990990990991,1708.4414414414414,114,0,0,0,184,235,0,769,15,0,56
Cell 844,2482.367816091954,1710.655172413793,39,128,0,0,226,0,519,0,0,0,58
Cell 845,5172.051546391753,1712.340206185567,56,89,0,0,546,0,1072,50,44,0,56
Cell 846,5081.746268656716,1713.8208955223881,31,12,0,0,200,0,176,12,0,0,0
Cell 847,5495.269662921349,1714.3033707865168,38,37,0,0,169,0,765,0,0,0,0
Cell 848,1221.0740740740741,1716.0740740740741,81,43,0,0,0,43,0,91,0,0,43
Cell 849,5234.534090909091,1715.9545454545455,102,117,14,0,598,0,600,50,14,0,22
Cell 850,871.0657894736842,1717.3552631578948,158,0,0,0,27,25,0,27,0,0,0
Cell 851,3370.877192982456,1722.140350877193,42,91,0,0,0,0,0,0,0,0,0
Cell 852,4914.673076923077,1716.2692307692307,78,83,0,0,256,0,0,0,0,0,0
Cell 853,248.1086956521739,1722.5,112,283,0,0,0,176,0,52,0,0,0
Cell 854,2710.6754385964914,1721.5701754385964,113,288,0,0,871,17,1289,0,0,0,55
Cell 855,4878.630769230769,1721.2923076923078,20,0,31,0,221,0,0,0,0,0,0
Cell 856,730.7280701754386,1723.5526315789473,156,258,0,18,619,329,0,459,28,38,83
Cell 857,259.67123287671234,1724.2054794520548,54,0,0,0,0,0,0,13,14,0,0
Cell 858,4379.865384615385,1726.2403846153845,96,144,0,0,742,27,75,75,0,0,38
Cell 859,3660.951219512195,1730.439024390244,100,18,0,0,0,0,0,0,0,21,0
Cell 860,1226.342105263158,1731.3947368421052,71,0,14,0,0,35,0,38,40,0,30
Cell 861,5511.747474747474,1736.3939393939395,0,0,0,0,82,40,0,10,0,0,0
Cell 862,1392.4761904761904,1741.1333333333334,0,140,0,0,392,0,229,15,0,0,0
Cell 863,3165.066037735849,1738.9622641509434,133,260,0,0,0,0,833,49,10,0,24
Cell 864,723.8252427184466,1742.4660194174758,39,166,0,0,0,10,0,0,0,0,11
Cell 865,1743.954887218045,1744.827067669173,46,112,0,0,470,26,742,0,0,0,0
Cell 866,3516.3779069767443,1750.9883720930231,176,529,0,0,0,0,0,41,0,0,162
Cell 867,3671.1769911504425,1744.1150442477876,51,869,0,0,0,40,0,64,0,0,12
Cell 868,4263.438202247191,1745.573033707865,46,158,0,0,687,0,213,0,0,0,0
Cell 869,1224.3185185185184,1749.1629629629629,72,0,0,0,0,95,0,142,54,0,10
Cell 870,3375.623853211009,1749.6697247706422,113,108,0,0,82,89,812,23,0,0,0
Cell 871,5296.8421052631575,1750.8684210526317,14,0,0,0,295,0,381,0,0,0,0
Cell 872,3145.868686868687,1752.1818181818182,62,55,0,0,0,0,0,11,0,0,28
Cell 873,4382.0,1754.7042253521126,0,10,0,0,198,0,94,0,0,0,0
Cell 874,2894.875,1758.45,200,0,0,0,0,17,0,0,26,0,30
Cell 875,3686.5576923076924,1758.076923076923,89,0,0,0,0,0,0,31,0,0,0
Cell 876,2863.0140845070423,1764.8591549295775,223,51,12,24,0,30,0,36,50,0,0
Cell 877,3580.992307692308,1768.4692307692308,46,188,0,0,531,0,437,51,0,0,26
Cell 878,5696.636363636364,1767.1313131313132,73,89,0,0,253,292,0,95,0,30,0
Cell 879,958.0135746606335,1774.185520361991,139,425,0,0,0,22,424,149,10,14,18
Cell 880,2521.0384615384614,1767.1666666666667,0,96,0,0,226,0,263,0,0,0,0
Cell 881,4663.482352941176,1772.070588235294,15,46,0,0,406,0,262,0,0,0,0
Cell 882,3512.9439252336447,1774.1495327102805,83,0,0,0,0,44,0,51,12,0,62
Cell 883,4172.825,1774.6083333333333,0,0,0,0,0,0,17,0,0,0,0
Cell 884,313.9583333333333,1777.8333333333333,26,127,0,0,43,23,265,0,0,0,0
Cell 885,2681.943661971831,1776.774647887324,51,140,0,0,706,0,256,125,12,0,45
Cell 886,4159.922222222222,1778.2111111111112,32,109,0,0,708,45,785,0,0,0,0
Cell 887,3812.6116504854367,1781.7475728155339,42,152,0,0,1086,0,735,0,0,0,14
Cell 888,3121.358024691358,1782.7037037037037,0,44,0,0,549,0,25,16,0,0,0
Cell 889,2235.217391304348,1789.0869565217392,44,187,0,0,255,0,636,0,0,0,11
Cell 890,5657.415584415585,1786.3636363636363,0,0,0,0,62,0,0,0,0,0,0
Cell 891,9.96551724137931,1787.1379310344828,0,55,0,0,341,0,0,28,0,0,0
Cell 892,5636.589285714285,1791.0535714285713,0,33,0,0,135,0,0,0,0,0,0
Cell 893,5678.260869565217,1790.4347826086957,19,19,0,0,91,17,0,22,0,0,0
Cell 894,17.048076923076923,1800.6923076923076,56,257,0,0,0,109,595,59,0,0,17
Cell 895,791.57,1801.21,99,399,0,0,177,0,0,123,10,0,16
Cell 896,1289.4850746268658,1805.089552238806,117,353,0,0,924,80,0,88,23,0,80
Cell 897,2107.177570093458,1804.5794392523364,77,336,0,0,638,90,806,62,0,0,0
Cell 898,1073.411111111111,1809.4,0,21,0,0,169,0,414,0,0,0,0
Cell 899,805.6615384615385,1808.553846153846,73,0,0,0,70,0,0,60,0,0,68
Cell 900,1505.438775510204,1809.2448979591836,19,98,0,0,0,0,187,0,0,0,62
Cell 901,5918.139240506329,1809.632911392405,0,11,0,0,328,0,591,15,0,30,0
Cell 902,1853.0833333333333,1812.361111111111,0,77,0,0,183,0,344,0,0,0,0
Cell 903,2044.046511627907,1811.5813953488373,110,132,0,22,200,66,214,0,0,0,26
Cell 904,4331.0641025641025,1813.923076923077,38,15,25,0,201,267,55,36,0,0,0
Cell 905,3035.1666666666665,1815.8854166666667,62,162,0,0,539,0,593,0,0,0,81
Cell 906,5167.166666666667,1815.40625,36,46,0,0,279,37,165,45,0,0,0
Cell 907,682.8655462184873,1819.9747899159663,89,182,0,24,233,73,959,106,0,0,59
Cell 908,2861.120481927711,1818.2289156626507,0,90,0,0,317,0,131,0,0,0,0
Cell 909,4509.726315789474,1818.6736842105263,43,56,0,0,420,0,415,13,0,0,0
Cell 910,4774.533333333334,1818.942857142857,59,126,0,0,0,0,0,37,0,0,13
Cell 911,233.30337078651687,1820.2134831460673,134,387,0,0,184,117,722,93,0,0,0
Cell 912,218.8170731707317,1823.6341463414635,58,0,0,0,101,16,0,40,13,0,62
Cell 913,566.3283582089553,1821.089552238806,0,116,0,0,137,11,0,24,0,0,0
Cell 914,5989.5,1822.945945945946,10,0,0,0,398,0,337,0,0,0,0
Cell 915,26.80952380952381,1826.8214285714287,41,136,0,0,0,101,476,43,0,0,0
Cell 916,1504.7076923076922,1825.8,0,105,0,0,0,0,0,0,0,0,0
Cell 917,5584.518181818182,1830.909090909091,46,49,0,0,304,0,332,0,0,27,40
Cell 918,5364.019607843137,1833.7254901960785,0,0,0,0,71,0,99,0,0,0,0
Cell 919,1404.105882352941,1837.270588235294,0,0,0,0,10,0,0,0,0,0,0
Cell 920,583.0,1838.320987654321,69,153,0,0,0,94,0,206,0,0,21
Cell 921,2062.939655172414,1837.2672413793102,45,114,0,0,305,0,335,51,0,0,0
Cell 922,4785.398734177215,1841.120253164557,89,228,27,0,0,28,0,119,28,0,47
Cell 923,1497.4623655913979,1842.3440860215053,54,235,0,0,178,45,944,248,0,72,38
Cell 924,4855.925925925926,1841.0925925925926,0,34,0,0,0,0,109,0,0,0,0
Cell 925,317.37606837606836,1846.5213675213674,169,198,0,0,731,759,397,22,0,0,33
Cell 926,5223.805555555556,1846.4074074074074,32,14,0,0,604,0,544,0,0,0,0
Cell 927,3108.3333333333335,1851.2179487179487,0,39,0,0,83,0,73,0,0,0,18
Cell 928,3671.1830985915494,1847.2394366197184,81,121,0,0,581,0,238,0,0,0,29
Cell 929,4611.609022556391,1852.4135338345864,0,0,0,0,347,0,79,0,0,0,0
Cell 930,1406.2666666666667,1853.24,44,337,0,0,0,0,573,0,0,0,0
Cell 931,126.97345132743362,1857.716814159292,48,95,0,0,280,0,262,18,0,0,59
Cell 932,583.6891891891892,1855.6351351351352,28,0,0,0,287,14,0,12,0,0,0
Cell 933,986.570707070707,1861.419191919192,59,448,0,0,1086,38,785,103,0,0,48
Cell 934,1261.4850299401198,1862.7724550898204,90,173,0,0,228,95,337,50,0,0,21
Cell 935,4788.452380952381,1861.892857142857,0,0,0,0,0,14,0,0,0,0,0
Cell 936,5116.303571428572,1862.4107142857142,0,0,0,0,0,0,0,0,0,0,0
Cell 937,1486.5531914893618,1863.2021276595744,55,74,0,0,0,0,0,0,0,0,0
Cell 938,2910.137614678899,1863.1559633027523,62,31,0,0,0,0,0,0,0,0,63
Cell 939,4550.16037735849,1864.933962264151,0,0,0,0,0,0,647,0,0,0,0
