cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 132,2790.474358974359,639.3076923076923,0,0,0,0,0,76,0,0,34,0,0
Cell 133,5499.535714285715,639.4107142857143,0,0,0,0,0,0,0,0,0,0,0
Cell 134,5656.302325581395,641.8720930232558,38,127,0,94,0,80,0,0,29,36,0
Cell 135,5349.8230088495575,641.1681415929204,0,125,0,0,311,18,804,627,0,0,0
Cell 136,2469.5671641791046,652.1194029850747,0,0,0,0,0,0,0,10,0,0,0
Cell 137,2639.2391304347825,649.3260869565217,0,0,29,0,290,68,650,483,15,0,0
Cell 138,2361.721153846154,654.6057692307693,0,10,61,317,530,0,310,892,200,56,0
Cell 139,5513.272727272727,652.3272727272728,25,74,0,31,77,559,0,0,0,0,0
Cell 140,5147.028571428571,656.0666666666667,30,283,0,27,0,451,0,0,34,30,0
Cell 141,2204.818181818182,657.7474747474747,18,0,100,467,206,0,555,544,207,568,0
Cell 142,2285.5,657.546875,0,0,0,0,28,12,0,0,0,0,0
Cell 143,3304.2165605095543,662.2611464968153,0,46,0,138,722,119,507,934,293,29,0
Cell 144,5162.671052631579,660.9342105263158,45,0,0,26,917,0,0,0,0,49,0
Cell 145,2124.53164556962,661.2658227848101,0,0,0,0,203,0,936,0,268,616,0
Cell 146,2098.3953488372094,663.9069767441861,28,0,0,928,92,0,0,0,146,265,0
Cell 147,2301.2846153846153,667.3615384615384,35,21,410,985,493,0,995,0,257,692,0
Cell 148,2791.1944444444443,664.2083333333334,0,26,234,0,0,216,0,0,37,0,0
Cell 149,2282.268656716418,672.8955223880597,0,0,0,0,0,0,0,0,121,0,0
Cell 150,2363.785714285714,673.6,0,18,0,13,0,0,48,11,0,0,0
Cell 151,3339.4945054945056,673.6483516483516,0,62,138,350,668,241,695,996,192,0,0
Cell 152,4513.691588785046,677.5420560747664,16,155,0,0,675,0,757,292,45,0,0
Cell 153,4095.65,681.4125,45,563,0,382,0,0,0,0,0,0,0
Cell 154,2044.6521739130435,681.2391304347826,0,0,249,639,920,189,281,558,246,443,0
Cell 155,3644.6721311475408,685.5901639344262,0,0,0,0,93,111,177,542,0,0,0
Cell 156,5853.666666666667,687.0714285714286,78,363,0,108,748,58,912,10,40,178,0
Cell 157,5048.269841269841,689.7777777777778,70,164,0,20,958,82,0,0,62,182,0
Cell 158,2841.6736842105265,692.3368421052631,25,72,437,353,0,0,0,0,207,201,0
Cell 159,4109.890243902439,690.7073170731708,145,0,0,0,0,761,0,0,445,11,0
Cell 160,4223.11,693.35,50,0,0,80,0,644,0,0,15,0,24
Cell 161,2805.5116279069766,694.546511627907,155,283,74,0,0,164,0,0,0,148,0
Cell 162,2978.355029585799,694.6863905325444,62,57,278,337,696,814,0,0,305,271,90
Cell 163,4144.3456790123455,694.3086419753087,79,188,0,108,0,68,0,0,11,99,0
Cell 164,4095.9736842105262,695.0921052631579,20,0,0,0,0,0,0,0,0,0,0
Cell 165,4211.746987951808,698.6024096385543,21,198,77,49,937,0,0,0,60,0,12
Cell 166,5490.033707865168,697.4157303370787,66,145,0,77,221,804,0,0,0,0,0
Cell 167,5953.169811320755,702.2452830188679,26,472,0,254,0,750,0,0,0,142,0
Cell 168,4642.552,707.848,200,714,0,12,0,881,445,0,112,14,14
Cell 169,5061.96,704.71,46,178,0,0,35,35,0,0,93,0,0
Cell 170,2648.2843137254904,706.9411764705883,40,0,460,517,474,77,815,722,237,0,0
Cell 171,4144.557894736842,710.3684210526316,0,0,0,18,926,18,0,0,12,0,0
Cell 172,5519.977777777778,710.7666666666667,42,12,0,14,270,25,0,0,15,0,0
Cell 173,3904.214285714286,710.2571428571429,0,12,23,0,525,0,410,566,13,61,0
Cell 174,2802.7027027027025,715.6351351351351,16,0,0,0,0,0,0,0,0,13,0
Cell 175,5564.06611570248,718.1900826446281,72,377,0,181,681,265,0,0,76,86,0
Cell 176,2814.684210526316,722.1684210526316,0,0,260,0,0,0,0,0,659,31,0
Cell 177,3779.6451612903224,728.2795698924731,59,182,44,81,678,0,0,0,64,0,0
Cell 178,4628.082191780822,730.1095890410959,0,42,0,0,0,0,0,0,0,37,0
Cell 179,3517.7533333333336,732.6933333333334,73,139,0,284,721,13,775,0,182,0,0
Cell 180,4637.4647887323945,733.5774647887324,69,0,27,61,0,0,0,0,36,0,0
Cell 181,5175.072916666667,733.8020833333334,87,214,0,0,0,0,62,257,46,213,0
Cell 182,2202.9876543209875,738.358024691358,0,0,228,0,0,12,156,0,200,0,0
Cell 183,2510.5135135135133,736.581081081081,0,0,0,0,0,0,754,19,0,0,0
Cell 184,5027.308823529412,736.9117647058823,27,132,0,0,420,181,0,0,18,0,0
Cell 185,1679.421052631579,741.2736842105263,0,35,0,136,116,276,470,280,215,89,19
Cell 186,2765.3636363636365,744.6464646464647,49,75,0,593,0,137,0,0,333,0,0
Cell 187,4247.127659574468,743.6382978723404,75,109,20,28,442,12,767,395,36,164,0
Cell 188,2179.837837837838,745.3378378378378,0,0,349,0,0,923,149,0,177,0,0
Cell 189,2227.0857142857144,744.4571428571429,0,0,46,0,51,0,19,0,10,0,0
Cell 190,2524.2972972972975,745.418918918919,40,111,281,245,727,0,0,23,502,0,0
Cell 191,5199.275362318841,745.2898550724638,21,110,0,0,0,61,0,292,41,42,0
Cell 192,5916.425925925926,747.5462962962963,101,121,0,116,424,421,0,59,0,63,0
Cell 193,6021.935064935065,749.2987012987013,28,0,0,0,0,151,568,182,0,227,0
Cell 194,2979.5233644859813,752.2523364485982,16,152,54,22,0,0,0,0,171,0,22
Cell 195,3020.0163934426228,754.8852459016393,0,0,78,201,160,0,202,175,35,0,0
Cell 196,4442.4,758.98,0,64,0,0,0,0,0,0,0,0,0
Cell 197,3701.222222222222,760.5432098765432,16,14,0,0,110,82,637,579,25,0,0
Cell 198,4480.650485436893,762.0679611650486,79,277,0,21,775,278,0,977,93,181,21
Cell 199,2546.681818181818,764.8333333333334,0,0,0,31,99,0,57,15,0,0,0
Cell 200,3544.648936170213,763.3404255319149,16,419,0,198,0,0,0,0,73,0,0
Cell 201,5830.980952380953,766.5333333333333,86,217,0,175,781,244,0,0,0,747,19
Cell 202,2964.7241379310344,770.6666666666666,0,189,183,181,0,186,0,0,0,0,0
Cell 203,1614.019801980198,773.5940594059406,0,0,146,452,217,79,412,577,214,395,0
Cell 204,2087.2169811320755,776.0754716981132,52,52,335,335,927,510,0,982,249,74,0
Cell 205,2882.4523809523807,772.9166666666666,0,34,48,0,150,83,663,841,29,0,12
Cell 206,1829.5072463768115,774.5652173913044,0,0,0,233,0,0,60,54,49,18,0
Cell 207,3536.8155339805826,776.8543689320388,33,0,0,112,0,851,0,0,152,22,0
Cell 208,4442.941747572816,776.6796116504854,79,243,13,27,800,71,0,675,50,40,21
Cell 209,1793.9733333333334,778.5066666666667,0,0,0,94,0,0,48,69,140,0,0
Cell 210,2974.891304347826,780.5652173913044,34,0,0,0,0,0,0,0,293,78,0
Cell 211,1406.9013157894738,784.6315789473684,0,0,32,10,159,0,70,47,75,0,0
Cell 212,2437.061855670103,783.639175257732,11,42,148,0,0,0,0,22,0,0,0
Cell 213,2332.559633027523,786.6146788990826,13,41,0,445,516,147,0,714,180,143,0
Cell 214,4892.425531914893,787.468085106383,124,595,23,31,608,190,606,1865,129,204,67
Cell 215,3094.2190476190476,787.8190476190476,0,67,0,0,655,0,0,0,0,93,0
Cell 216,4295.884615384615,787.5384615384615,118,292,0,0,553,31,1013,292,36,0,40
Cell 217,5209.736434108527,790.4186046511628,91,255,0,0,842,373,0,752,116,38,0
Cell 218,3440.5042016806724,790.5714285714286,57,269,0,270,0,0,0,0,282,24,0
Cell 219,3777.942528735632,789.264367816092,84,176,0,0,0,303,0,0,0,0,0
