Cellid,X,Y,W,H,cX,cY,Aera
6852,4929,3272,166,103,5018.502425,3320.974439,9898
6853,5050,3273,1,1,5050,3273,1
6854,5053,3272,1,1,5053,3272,1
6855,5452,3272,3,3,5453,3273,3
6856,6779,3272,1,1,6779,3272,1
6857,7424,3272,1,1,7424,3272,1
6858,7431,3272,1,1,7431,3272,1
6859,7533,3273,1,1,7533,3273,1
6860,8611,3273,1,1,8611,3273,1
6861,4813,3275,1,1,4813,3275,1
6862,5036,3274,2,2,5036.5,3274.5,2
6863,5039,3275,2,3,5039.666667,3276,3
6864,5184,3274,2,2,5184.5,3274.5,4
6865,5192,3274,1,1,5192,3274,1
6866,5417,3274,3,2,5418,3274.333333,3
6867,6823,3274,1,1,6823,3274,1
6868,7153,3275,1,1,7153,3275,1
6869,8292,3274,1,1,8292,3274,1
6870,9029,3274,1,1,9029,3274,1
6871,10782,3275,1,1,10782,3275,1
6872,3813,3277,1,1,3813,3277,1
6873,5033,3277,2,1,5033.5,3277,2
6874,5037,3277,1,1,5037,3277,1
6875,5056,3276,1,1,5056,3276,1
6876,5418,3277,1,1,5418,3277,1
6877,5420,3277,2,3,5420.666667,3278,3
6878,5449,3277,1,1,5449,3277,1
6879,5452,3277,1,1,5452,3277,1
6880,7152,3277,1,1,7152,3277,1
6881,7426,3277,2,2,7426.666667,3277.333333,3
6882,7431,3277,1,1,7431,3277,1
6883,8608,3276,1,1,8608,3276,1
6884,10780,3276,1,1,10780,3276,1
6885,10782,3277,1,1,10782,3277,1
6886,11214,3276,2,4,11214.5,3277.5,8
6887,3781,3278,40,59,3797.187081,3302.217282,1192
6888,5205,3278,2,1,5205.5,3278,2
6889,5437,3278,1,1,5437,3278,1
6890,8661,3279,1,1,8661,3279,1
6891,9946,3279,1,1,9946,3279,1
6892,10765,3279,1,1,10765,3279,1
6893,10779,3278,1,1,10779,3278,1
6894,11202,3278,2,2,11202.5,3278.5,4
6895,3784,3280,1,1,3784,3280,1
6896,3822,3281,1,1,3822,3281,1
6897,4264,3281,1,1,4264,3281,1
6898,4269,3280,1,1,4269,3280,1
6899,4287,3280,1,1,4287,3280,1
6900,4991,3281,1,1,4991,3281,1
6901,5000,3281,1,1,5000,3281,1
6902,5432,3281,1,1,5432,3281,1
6903,5435,3280,1,3,5435,3281,3
6904,5437,3280,2,2,5437.333333,3280.666667,3
6905,5960,3281,1,1,5960,3281,1
6906,5818,3280,172,140,5903.811576,3351.317346,11092
6907,5986,3281,1,1,5986,3281,1
6908,6827,3281,1,1,6827,3281,1
6909,7181,3280,1,1,7181,3280,1
6910,7530,3280,2,3,7530.666667,3281,3
6911,7556,3281,1,1,7556,3281,1
