,Cellid,X,Y,W,H,cX,cY,Aera
22342,22342,9554,9116,1,1,9554.0,9116.0,1
22343,22343,9559,9116,1,1,9559.0,9116.0,1
22344,22344,10904,9116,1,1,10904.0,9116.0,1
22345,22345,10944,9116,1,1,10944.0,9116.0,1
22346,22346,11547,9116,1,1,11547.0,9116.0,1
22347,22347,11607,9116,1,1,11607.0,9116.0,1
22348,22348,5400,9119,1,1,5400.0,9119.0,1
22349,22349,5700,9119,1,1,5700.0,9119.0,1
22350,22350,5726,9118,1,1,5726.0,9118.0,1
22351,22351,5970,9118,3,2,5971.0,9118.333333333334,3
22352,22352,5982,9118,2,2,5982.5,9118.5,2
22353,22353,6443,9119,1,1,6443.0,9119.0,1
22354,22354,7502,9119,1,1,7502.0,9119.0,1
22355,22355,7657,9119,1,1,7657.0,9119.0,1
22356,22356,7665,9119,1,1,7665.0,9119.0,1
22357,22357,7710,9118,1,1,7710.0,9118.0,1
22358,22358,8254,9118,2,2,8254.666666666666,9118.666666666666,3
22359,22359,8257,9119,1,1,8257.0,9119.0,1
22360,22360,8819,9119,1,1,8819.0,9119.0,1
22361,22361,9848,9119,1,1,9848.0,9119.0,1
22362,22362,9919,9119,1,1,9919.0,9119.0,1
22363,22363,10944,9119,1,1,10944.0,9119.0,1
22364,22364,11555,9118,1,1,11555.0,9118.0,1
22365,22365,11604,9119,1,1,11604.0,9119.0,1
22366,22366,5804,9121,1,1,5804.0,9121.0,1
22367,22367,8820,9121,1,1,8820.0,9121.0,1
22368,22368,8823,9121,1,1,8823.0,9121.0,1
22369,22369,9067,9120,4,3,9068.666666666666,9120.833333333334,6
22370,22370,9072,9120,1,1,9072.0,9120.0,1
22371,22371,9557,9121,2,1,9557.5,9121.0,2
22372,22372,9612,9120,2,2,9612.5,9120.5,4
22373,22373,9848,9121,1,1,9848.0,9121.0,1
22374,22374,5416,9122,1,1,5416.0,9122.0,1
22375,22375,5728,9123,1,1,5728.0,9123.0,1
22376,22376,5739,9122,1,1,5739.0,9122.0,1
22377,22377,5761,9122,1,1,5761.0,9122.0,1
22378,22378,5804,9123,1,1,5804.0,9123.0,1
22379,22379,6529,9122,1,1,6529.0,9122.0,1
22380,22380,6531,9123,1,1,6531.0,9123.0,1
